Child_ID,Exam,Goal,Grade,main_learnpath,Title,Format_refrence,Topic_learnpath_name,Concept_count
4126729,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--food: where does it come from?,,5ec5867a0c88fe5860961943,,
4126729,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--components of food,Food Materials and Sources,5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--food: where does it come from?--food materials and sources,3
4126729,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--components of food,Food and Its Components,5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--components of food--food and its components,33
4126729,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--components of food,Plant parts and Animal Products as Food,5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--food: where does it come from?--plant parts and animal products as food,16
4126729,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--components of food,Importance of Nutrients,5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--components of food--importance of nutrients,10
4126729,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--components of food,Food Variety,5ec5867a0c88fe5860961943,cbse--6th cbse--science--biology--food: where does it come from?--food variety,5
4126729,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--getting to know plants,,5ec5867a0c88fe5860961943,,
4126729,6th CBSE,CBSE,6,cbse--6th cbse--science--biology--body movements,,5ec5867a0c88fe5860961943,,
4126729,6th CBSE,CBSE,6,"cbse--6th cbse--science--biology--garbage in, garbage out",Dealing With Garbage,5ec5867a0c88fe5860961943,"cbse--6th cbse--science--biology--garbage in, garbage out--dealing with garbage",11
4126729,6th CBSE,CBSE,6,"cbse--6th cbse--science--biology--garbage in, garbage out",Think and Throw,5ec5867a0c88fe5860961943,"cbse--6th cbse--science--biology--garbage in, garbage out--think and throw",5
4126729,6th CBSE,CBSE,6,cbse--6th cbse--science--chemistry--fibre to fabric,Fibre,5ec5867a0c88fe5860961943,cbse--6th cbse--science--chemistry--fibre to fabric--fibre,8
4126729,6th CBSE,CBSE,6,cbse--6th cbse--science--chemistry--sorting materials into groups,"Transparent, Opaque and translucent Objects",5ec5867a0c88fe5860961943,"cbse--6th cbse--science--physics--light, shadows and reflections--transparent, opaque and translucent objects",5
4126729,6th CBSE,CBSE,6,cbse--6th cbse--science--chemistry--sorting materials into groups,Plant Fibres,5ec5867a0c88fe5860961943,cbse--6th cbse--science--chemistry--fibre to fabric--plant fibres,3
4126729,6th CBSE,CBSE,6,cbse--6th cbse--science--chemistry--separation of substances,,5ec5867a0c88fe5860961943,,
4126729,6th CBSE,CBSE,6,cbse--6th cbse--science--chemistry--changes around us,,5ec5867a0c88fe5860961943,,
4126729,6th CBSE,CBSE,6,cbse--6th cbse--science--chemistry--water,,5ec5867a0c88fe5860961943,,
4126729,6th CBSE,CBSE,6,cbse--6th cbse--science--chemistry--air around us,,5ec5867a0c88fe5860961943,,
4126729,6th CBSE,CBSE,6,cbse--6th cbse--science--physics--motion and measurement of distances,Units of Measurement,5ec5867a0c88fe5860961943,cbse--6th cbse--science--physics--motion and measurement of distances--units of measurement,9
4126729,6th CBSE,CBSE,6,cbse--6th cbse--science--physics--motion and measurement of distances,Circles,5ec5867a0c88fe5860961943,cbse--6th cbse--mathematics--geometry--basic geometrical ideas--circles,14
4126729,6th CBSE,CBSE,6,cbse--6th cbse--science--physics--electricity and circuits,Electric Circuit,5ec5867a0c88fe5860961943,cbse--6th cbse--science--physics--electricity and circuits--electric circuit,5
4126729,6th CBSE,CBSE,6,cbse--6th cbse--science--physics--electricity and circuits,Electric Cell,5ec5867a0c88fe5860961943,cbse--6th cbse--science--physics--electricity and circuits--electric cell,6
