Child_ID,Exam,Goal,Grade,main_learnpath,Title,Format_refrence,Topic_learnpath_name,Concept_count,Sequence
4126762,11th CBSE,CBSE,11,"cbse--11th cbse--physics--mechanics--work, energy and power",chemical changes and equations,5ec5867a0c88fe5860961943,cbse--10th cbse--science--chemistry--chemical reactions and equations--chemical changes and equations,21.0,0.0
4126762,11th CBSE,CBSE,11,"cbse--11th cbse--physics--mechanics--work, energy and power",physical quantities,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--units and measurements--physical quantities,3.0,5.0
4126762,11th CBSE,CBSE,11,"cbse--11th cbse--physics--mechanics--work, energy and power",speed and velocity,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--motion in a straight line--speed and velocity,9.0,18.0
4126762,11th CBSE,CBSE,11,"cbse--11th cbse--physics--mechanics--work, energy and power",scalars and vectors,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--motion in a plane--scalars and vectors,18.0,22.0
4126762,11th CBSE,CBSE,11,"cbse--11th cbse--physics--mechanics--work, energy and power","position vector, displacement, velocity and acceleration",5ec5867a0c88fe5860961943,"cbse--11th cbse--physics--mechanics--motion in a plane--position vector, displacement, velocity and acceleration",10.0,23.0
4126762,11th CBSE,CBSE,11,"cbse--11th cbse--physics--mechanics--work, energy and power",common forces in mechanics,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--laws of motion--common forces in mechanics,12.0,35.0
4126762,11th CBSE,CBSE,11,"cbse--11th cbse--physics--mechanics--work, energy and power",the scalar product of vectors,5ec5867a0c88fe5860961943,"cbse--11th cbse--physics--mechanics--work, energy and power--the scalar product of vectors",7.0,42.0
4126762,11th CBSE,CBSE,11,"cbse--11th cbse--physics--mechanics--work, energy and power",inertia and mass,5ec5867a0c88fe5860961943,cbse--9th cbse--science--physics--force and laws of motion--inertia and mass,7.0,44.0
4126762,11th CBSE,CBSE,11,"cbse--11th cbse--physics--mechanics--work, energy and power",electric current and circuit,5ec5867a0c88fe5860961943,cbse--10th cbse--science--physics--electricity--electric current and circuit,11.0,44.0
4126762,11th CBSE,CBSE,11,"cbse--11th cbse--physics--mechanics--work, energy and power",kinetic energy,5ec5867a0c88fe5860961943,"cbse--11th cbse--physics--mechanics--work, energy and power--kinetic energy",1.0,45.0
4126762,11th CBSE,CBSE,11,"cbse--11th cbse--physics--mechanics--work, energy and power",potential energy,5ec5867a0c88fe5860961943,"cbse--11th cbse--physics--mechanics--work, energy and power--potential energy",6.0,46.0
4126762,11th CBSE,CBSE,11,"cbse--11th cbse--physics--mechanics--work, energy and power",conservation of momentum,5ec5867a0c88fe5860961943,cbse--9th cbse--science--physics--force and laws of motion--conservation of momentum,3.0,47.0
