Child_ID,Exam,Goal,Grade,Title,Type,Format_refrence,Section_name,Subject,Subject_tagged,Learnpath_name,Learnmap_id,Chapter
4126729,6th CBSE,CBSE,6,Food: Where Does It Come From?,learn_chapter,5ec5867a0c88fe5860961943,Learn Science Chapters From 6th CBSE,Science,Science,cbse--6th cbse--science--biology--food: where does it come from?,5ec5867a0c88fe5860961943/CBSE/6th CBSE/Science/Biology/Food: Where Does It Come From?,food: where does it come from?
4126729,6th CBSE,CBSE,6,Components of Food,learn_chapter,5ec5867a0c88fe5860961943,Learn Science Chapters From 6th CBSE,Science,Science,cbse--6th cbse--science--biology--components of food,5ec5867a0c88fe5860961943/CBSE/6th CBSE/Science/Biology/Components of Food,components of food
4126729,6th CBSE,CBSE,6,Getting to Know Plants,learn_chapter,5ec5867a0c88fe5860961943,Learn Science Chapters From 6th CBSE,Science,Science,cbse--6th cbse--science--biology--getting to know plants,5ec5867a0c88fe5860961943/CBSE/6th CBSE/Science/Biology/Getting to Know Plants,getting to know plants
4126729,6th CBSE,CBSE,6,Body Movements,learn_chapter,5ec5867a0c88fe5860961943,Learn Science Chapters From 6th CBSE,Science,Science,cbse--6th cbse--science--biology--body movements,5ec5867a0c88fe5860961943/CBSE/6th CBSE/Science/Biology/Body Movements,body movements
4126729,6th CBSE,CBSE,6,"Garbage in, Garbage out",learn_chapter,5ec5867a0c88fe5860961943,Learn Science Chapters From 6th CBSE,Science,Science,"cbse--6th cbse--science--biology--garbage in, garbage out","5ec5867a0c88fe5860961943/CBSE/6th CBSE/Science/Biology/Garbage in, Garbage out","garbage in, garbage out"
4126729,6th CBSE,CBSE,6,Fibre to Fabric,learn_chapter,5ec5867a0c88fe5860961943,Learn Science Chapters From 6th CBSE,Science,Science,cbse--6th cbse--science--chemistry--fibre to fabric,5ec5867a0c88fe5860961943/CBSE/6th CBSE/Science/Chemistry/Fibre to Fabric,fibre to fabric
4126729,6th CBSE,CBSE,6,Sorting Materials into Groups,learn_chapter,5ec5867a0c88fe5860961943,Learn Science Chapters From 6th CBSE,Science,Science,cbse--6th cbse--science--chemistry--sorting materials into groups,5ec5867a0c88fe5860961943/CBSE/6th CBSE/Science/Chemistry/Sorting Materials into Groups,sorting materials into groups
4126729,6th CBSE,CBSE,6,Separation of Substances,learn_chapter,5ec5867a0c88fe5860961943,Learn Science Chapters From 6th CBSE,Science,Science,cbse--6th cbse--science--chemistry--separation of substances,5ec5867a0c88fe5860961943/CBSE/6th CBSE/Science/Chemistry/Separation of Substances,separation of substances
4126729,6th CBSE,CBSE,6,Changes Around Us,learn_chapter,5ec5867a0c88fe5860961943,Learn Science Chapters From 6th CBSE,Science,Science,cbse--6th cbse--science--chemistry--changes around us,5ec5867a0c88fe5860961943/CBSE/6th CBSE/Science/Chemistry/Changes Around Us,changes around us
4126729,6th CBSE,CBSE,6,Water,learn_chapter,5ec5867a0c88fe5860961943,Learn Science Chapters From 6th CBSE,Science,Science,cbse--6th cbse--science--chemistry--water,5ec5867a0c88fe5860961943/CBSE/6th CBSE/Science/Chemistry/Water,water
